line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,proceeds,comm_fee,basis,realized_p_l,code,notional_value,comm_in_usd,field_10,field_11
243,Data,trades__02,Order,Futures,USD,MGCG5,"2025-01-29, 09:43:15",-1,2774,,-0.77,-26761.77,977.46,C;L,27740,,,
244,SubTotal,trades__02,,Futures,USD,MGCG5,,-1,,,-0.77,-26761.77,977.46,,27740,,,
245,Data,trades__02,Order,Futures,USD,MGCJ5,"2025-01-31, 08:48:26",1,2847.5,,-0.77,28475.77,0,O,-28475,,,
246,Data,trades__02,Order,Futures,USD,MGCJ5,"2025-03-27, 09:45:58",-1,3046.5,,-0.87,-28475.77,1988.36,C;L,30465,,,
247,SubTotal,trades__02,,Futures,USD,MGCJ5,,0,,,-1.64,0,1988.36,,1990,,,
248,Data,trades__02,Order,Futures,USD,MGCM5,"2025-04-01, 16:50:17",1,3151.2,,-0.87,31512.87,0,O,-31512,,,
249,Data,trades__02,Order,Futures,USD,MGCM5,"2025-04-04, 11:51:31",-1,3041.2,,-0.87,-31512.87,-1101.74,C;L,30412,,,
250,Data,trades__02,Order,Futures,USD,MGCM5,"2025-04-14, 15:39:07",1,3225.9,,-0.87,32259.87,0,O,-32259,,,
251,Data,trades__02,Order,Futures,USD,MGCM5,"2025-05-28, 09:42:35",-1,3298,,-0.87,-32259.87,719.26,C;L,32980,,,
252,SubTotal,trades__02,,Futures,USD,MGCM5,,0,,,-3.48,0,-382.48,,-379,,,
253,Data,trades__02,Order,Futures,USD,ZFM5,"2025-03-21, 10:06:59",1,108.1640625,,-1.52,108165.5825,0,O,-108164.0625,,,
254,Data,trades__02,Order,Futures,USD,ZFM5,"2025-04-09, 09:50:40",-1,108.203125,,-1.52,-108165.5825,36.0225,C,108203.125,,,
255,SubTotal,trades__02,,Futures,USD,ZFM5,,0,,,-3.04,0,36.0225,,39.0625,,,
256,Total,trades__02,,Futures,USD,,,,,,-9.55,-57047.39,723.1225, ,57780.0625,,,
258,Data,trades__03,Order,Forex,HKD,GBP.HKD,"2025-04-04, 07:09:59",-13.16,10.1197,133.175252,,,,L,,0,,
259,SubTotal,trades__03,,Forex,HKD,GBP.HKD,,-13.16,,133.175252,,,,,,0,,
260,Data,trades__03,Order,Forex,HKD,USD.HKD,"2025-02-28, 23:48:56",0.0065,7.77855,-0.050560575,,,,,,0,,
261,Data,trades__03,Order,Forex,HKD,USD.HKD,"2025-03-07, 23:55:38",-0.8649,7.77035,6.720575715,,,,,,0,,
262,Data,trades__03,Order,Forex,HKD,USD.HKD,"2025-04-06, 21:18:42","-2,674.58",7.77275,20788.841695,,,,L,,-0.053479559,,
263,SubTotal,trades__03,,Forex,HKD,USD.HKD,,-2675.4384,,20795.51171014,,,,,,-0.053479559,,
264,Total,trades__03,,Forex,HKD,,,,,20928.68696214,,,, ,,-0.053479559,,
265,Total,trades__03,,Forex,USD,,,,,2694.344383906,,,, ,,-0.053479559,,
